# wavelength,transmittance
7.027630000000000337e+02,7.553807753322000496e-01
7.037619999999999436e+02,7.561625584121800525e-01
7.047619999999999436e+02,7.564884422703399558e-01
7.057609999999999673e+02,7.562296761226200426e-01
7.067609999999999673e+02,7.559192930425300272e-01
7.077599999999999909e+02,7.559037049239599737e-01
7.087599999999999909e+02,7.543312259014699483e-01
7.097590000000000146e+02,7.550659034515699863e-01
7.107580000000000382e+02,7.551974531829800386e-01
7.117580000000000382e+02,7.549553537423200344e-01
7.127569999999999482e+02,7.538887286304899460e-01
7.137569999999999482e+02,7.541245912226800518e-01
7.147560000000000855e+02,7.545164751011600446e-01
7.157549999999999955e+02,7.545202720585699740e-01
7.167549999999999955e+02,7.541810692701600427e-01
7.177540000000000191e+02,7.531715013893499622e-01
7.187540000000000191e+02,7.525177584051200297e-01
7.197529999999999291e+02,7.538823530171100407e-01
7.207520000000000664e+02,7.533713278913299893e-01
7.217520000000000664e+02,7.543431133863299776e-01
7.227509999999999764e+02,7.541784122324900475e-01
7.237509999999999764e+02,7.536239921803300490e-01
7.247500000000000000e+02,7.533977747338299613e-01
7.257500000000000000e+02,7.521484892046800264e-01
7.267490000000000236e+02,7.533428971651899841e-01
7.277479999999999336e+02,7.519089929406900241e-01
7.287479999999999336e+02,7.510248926219299515e-01
7.297470000000000709e+02,7.517862737105199811e-01
7.307470000000000709e+02,7.512828429836100330e-01
7.317459999999999809e+02,7.505331801578000173e-01
7.327450000000000045e+02,7.502641300356599485e-01
7.337450000000000045e+02,7.510953363966399454e-01
7.347439999999999145e+02,7.508411443194800139e-01
7.357439999999999145e+02,7.504269064815299872e-01
7.367430000000000518e+02,7.503427441710099899e-01
7.377430000000000518e+02,7.492768059783400103e-01
7.387419999999999618e+02,7.495025797258899614e-01
7.397409999999999854e+02,7.490359765394899449e-01
7.407409999999999854e+02,7.481601636258200516e-01
7.417400000000000091e+02,7.469488554150299775e-01
7.427400000000000091e+02,7.462714281976799979e-01
7.437390000000000327e+02,7.461720038348900186e-01
7.447380000000000564e+02,7.468706725725999807e-01
7.457380000000000564e+02,7.463666071105600208e-01
7.467369999999999663e+02,7.452905076469700241e-01
7.477369999999999663e+02,7.442246743380800389e-01
7.487359999999999900e+02,7.444625231002900412e-01
7.497350000000000136e+02,7.434215702288999861e-01
7.507350000000000136e+02,7.414989483712000062e-01
7.517340000000000373e+02,7.416047040097699661e-01
7.527340000000000373e+02,7.414609871777499972e-01
7.537329999999999472e+02,7.402538757987899842e-01
7.547329999999999472e+02,7.405986214531999901e-01
7.557319999999999709e+02,7.398257305486900526e-01
7.567309999999999945e+02,7.396778202590199580e-01
7.577309999999999945e+02,7.389711753884600220e-01
7.587300000000000182e+02,7.383288673472599983e-01
7.597300000000000182e+02,7.369827225975600360e-01
7.607290000000000418e+02,7.364106811422399534e-01
7.617279999999999518e+02,7.361565382895800536e-01
7.627279999999999518e+02,7.350350306603400385e-01
7.637270000000000891e+02,7.336443376886699896e-01
7.647270000000000891e+02,7.337896864795799834e-01
7.657259999999999991e+02,7.333577233540999885e-01
7.667250000000000227e+02,7.328896419888200064e-01
7.677250000000000227e+02,7.330871326274199795e-01
7.687239999999999327e+02,7.324789054247400344e-01
7.697239999999999327e+02,7.316617302104300169e-01
7.707229999999999563e+02,7.311692932998500316e-01
7.717229999999999563e+02,7.301606658746599976e-01
7.727219999999999800e+02,7.289491240918000159e-01
7.737210000000000036e+02,7.287590933867600373e-01
7.747210000000000036e+02,7.274713983328899847e-01
7.757200000000000273e+02,7.258288155501400052e-01
7.767200000000000273e+02,7.257345832952899478e-01
7.777189999999999372e+02,7.248207591707900299e-01
7.787180000000000746e+02,7.236527197086599639e-01
7.797180000000000746e+02,7.236466436917999845e-01
7.807169999999999845e+02,7.229321557337899939e-01
7.817169999999999845e+02,7.215411447558900404e-01
7.827160000000000082e+02,7.208709589961299624e-01
7.837149999999999181e+02,7.180470555957699785e-01
7.847149999999999181e+02,7.181281060963099483e-01
7.857140000000000555e+02,7.177914701949299481e-01
7.867140000000000555e+02,7.152087893793900308e-01
7.877129999999999654e+02,7.131731127356899513e-01
